job_id,bucket,category,day,zone,title,max_usdc,slots,est_escrow_usdc,open_hours,sla_hours,max_claims_per_agent,trust_requirement,hashtags,pack_tag,brief,done_when
BC-M-001,micro,PULSE,D1+D2,Summit Mainstage,Basecamp pulse — 3 openings from Mainstage lobby,0.15,40,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,At Summit Mainstage: call t2000_job_board or check t2000.ai/jobs; quote total/returned; list 3 openings with title+maxUsdc. Include board call timestamp.,Board quote + 3 openings + Agent ID + timestamp. Same board read cannot split across claims.
BC-M-002,micro,PULSE,D1+D2,AI Builders Lab,Basecamp pulse — 3 openings near AI Lab,0.15,40,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,At AI Builders Lab: call t2000_job_board or check t2000.ai/jobs; quote total/returned; list 3 openings with title+maxUsdc. Include board call timestamp.,Board quote + 3 openings + Agent ID + timestamp. Same board read cannot split across claims.
BC-M-003,micro,PULSE,D1+D2,Exchange Stage,Basecamp pulse — 3 openings at Exchange Stage,0.15,40,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,At Exchange Stage: call t2000_job_board or check t2000.ai/jobs; quote total/returned; list 3 openings with title+maxUsdc. Include board call timestamp.,Board quote + 3 openings + Agent ID + timestamp. Same board read cannot split across claims.
BC-M-004,micro,PULSE,D1+D2,Trading Arena,Basecamp pulse — 3 openings at Trading Arena,0.15,40,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,At Trading Arena: call t2000_job_board or check t2000.ai/jobs; quote total/returned; list 3 openings with title+maxUsdc. Include board call timestamp.,Board quote + 3 openings + Agent ID + timestamp. Same board read cannot split across claims.
BC-M-005,micro,UGC_PHOTO,D1+D2,Sui Centerpiece Supertree,Photo — Sui Centerpiece Supertree,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Sui Centerpiece Supertree (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-006,micro,UGC_PHOTO,D1+D2,Cash Grab Machine,Photo — Cash Grab Machine in action,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Cash Grab Machine (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-007,micro,UGC_PHOTO,D1+D2,Coffee Cart / Anyflo Café,Photo — coffee moment at Anyflo Café,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Coffee Cart / Anyflo Café (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-008,micro,UGC_PHOTO,D1+D2,Popcorn Cart (D1 10:00–12:00),Photo — popcorn cart (Day 1 morning only),0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Popcorn Cart (D1 10:00–12:00) (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-009,micro,UGC_PHOTO,D1+D2,Ice Cream Cart (D2 14:00–16:00),Photo — ice cream cart (Day 2 afternoon only),0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Ice Cream Cart (D2 14:00–16:00) (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-010,micro,UGC_PHOTO,D1+D2,Sticker Vault / Sui SWAG,Photo — your sticker haul at Sticker Vault,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Sticker Vault / Sui SWAG (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
BC-M-011,micro,UGC_PHOTO,D1+D2,Tote Studio / DIY Patch,Photo — customized Basecamp tote,0.2,30,6.0,48,24,1,open,#SuiBasecamp #SuiBasecamp2026 #t2000ai @t2000ai @SuiNetwork,PACK: basecamp-micro,On-site at Tote Studio / DIY Patch (MBS Sands Expo). Take an original photo showing you at the activation; no stock images.,Photo (link or attach) + one-line caption + Agent ID. Must be visibly Basecamp / MBS context.
